Reno himself can take credit for most of the movie 's success .,pos
"Despite the film 's shortcomings , the stories are quietly moving .",pos
"Despite its dry wit and compassion , the film suffers from a philosophical emptiness and maddeningly sedate pacing .",neg
The central character is n't complex enough to hold our interest .,neu
"Rifkin no doubt fancies himself something of a Hubert Selby Jr. , but there is n't an ounce of honest poetry in his entire script ; it 's simply crude and unrelentingly exploitative .",very neg
"Dodgy mixture of cutesy romance , dark satire and murder mystery .",neu
The only time 8 Crazy Nights comes close to hitting a comedic or satirical target is during the offbeat musical numbers .,neu
... quite good at providing some good old fashioned spooks .,pos
"The huskies are beautiful , the border collie is funny and the overall feeling is genial and decent .",pos
There is so much plodding sensitivity .,neu
"At the end , when the now computerized Yoda finally reveals his martial artistry , the film ascends to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside .",pos
"... in no way original , or even all that memorable , but as downtown Saturday matinee brain candy , it does n't disappoint .",pos
City by the Sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for .,pos
"Elegantly crafted but emotionally cold , a puzzle whose intricate construction one can admire but is difficult to connect with on any deeper level .",neg
"I realized that no matter how fantastic Reign of Fire looked , its story was making no sense at all .",neu
"An easy watch , except for the annoying demeanour of its lead character .",neu
The lead actors share no chemistry or engaging charisma .,very neg
It all comes down to whether you can tolerate Leon Barlow .,neg
George Lucas returns as a visionary with a tale full of nuance and character dimension .,pos
"Directing with a sure and measured hand , ( Haneke ) steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology .",pos
"The artwork is spectacular and unlike most animaton from Japan , the characters move with grace and panache .",very pos
"The storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .",very pos
"You might want to take a reality check before you pay the full ticket price to see `` Simone , '' and consider a DVD rental instead .",neg
Director Tom Shadyac and star Kevin Costner glumly mishandle the story 's promising premise of a physician who needs to heal himself .,neg
"Weird , vulgar comedy that 's definitely an acquired taste .",neu
Being latently gay and liking to read are hardly enough .,neu
An alternately raucous and sappy ethnic sitcom ... you 'd be wise to send your regrets .,neg
The film 's constant mood of melancholy and its unhurried narrative are masterfully controlled .,very pos
You may feel compelled to watch the film twice or pick up a book on the subject .,pos
"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",neu
"What 's most memorable about Circuit is that it 's shot on digital video , whose tiny camera enables Shafer to navigate spaces both large ... and small ... with considerable aplomb .",pos
"Flashy gadgets and whirling fight sequences may look cool , but they ca n't distract from the flawed support structure holding Equilibrium up .",neg
It thankfully goes easy on the reel\/real world dichotomy that ( Jaglom ) pursued with such enervating determination in Venice\/Venice .,pos
"American musical comedy as we know it would n't exist without the precedent of Yiddish theater , whose jolly , fun-for-fun 's - sake communal spirit goes to the essence of Broadway .",pos
"What lifts the film high above run-of-the-filth gangster flicks is its refusal to recognise any of the signposts , as if discovering a way through to the bitter end without a map .",pos
Oliveira seems to pursue silent film representation with every mournful composition .,neu
"Once one experiences Mr. Haneke 's own sadistic tendencies toward his audience , one is left with a sour taste in one 's mouth , and little else .",very neg
"Some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , and , really , nobody in the viewing audience cares .",very neg
"While somewhat less than it might have been , the film is a good one , and you 've got to hand it to director George Clooney for biting off such a big job the first time out .",pos
Manages to please its intended audience -- children -- without placing their parents in a coma-like state .,pos
"A confluence of kiddie entertainment , sophisticated wit and symbolic graphic design .",pos
"Mr. Goyer 's loose , unaccountable direction is technically sophisticated in the worst way .",very neg
"Best indie of the year , so far .",very pos
Animated drivel meant to enhance the self-image of drooling idiots .,neg
"A long , dull procession of despair , set to cello music culled from a minimalist funeral .",very neg
"None of this sounds promising and , indeed , the first half of Sorority Boys is as appalling as any ` comedy ' to ever spill from a projector 's lens .",very neg
"In fact , it does n't even seem like she tried .",very neg
"A waterlogged version of ` Fatal Attraction ' for the teeny-bopper set ... a sad , soggy potboiler that wastes the talents of its attractive young leads .",neg
"Affleck merely creates an outline for a role he still needs to grow into , a role that Ford effortlessly filled with authority .",neu
Writer \/ director M. Night Shyamalan 's ability to pull together easily accessible stories that resonate with profundity is undeniable .,pos
You get the impression that writer and director Burr Steers knows the territory ... but his sense of humor has yet to lose the smug self-satisfaction usually associated with the better private schools .,neg
"The beautiful images and solemn words can not disguise the slack complacency of ( Godard 's ) vision , any more than the gorgeous piano and strings on the soundtrack can drown out the tinny self-righteousness of his voice .",neg
"Peppering this urban study with references to Norwegian folktales , Villeneuve creates in Maelstrom a world where the bizarre is credible and the real turns magical .",pos
"A clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film ...",neg
"Downbeat , period-perfect biopic hammers home a heavy-handed moralistic message .",pos
Those seeking a definitive account of Eisenstein 's life would do better elsewhere .,neg
Foster and Whitaker are especially fine .,very pos
"Hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the U.S. -- a major director is emerging in world cinema .",very pos
